time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.90,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.10,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.30,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.50,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.70,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.90,1,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.10,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.20,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.30,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.40,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.50,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.60,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.70,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.80,1,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
2.90,2,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
3.00,2,starting,0,0,0,0,starting,0,0,0,0,0,16-23:25:28,0,4,Still jerking it (and by it I mean servos): [ID-1],2,
